opcode,meas,index,voice,loc,eloc,oloc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,tie,onset,pedal,dyn,even,tempo,player_id,piano_id,src,seg_label,spirio_label,uid
ped,130,7080,0,7080,3364,,1024,616.5419999999997,,,,,,,176,64,127,,,,,,,dV,,,,1,1,cut_30,gutim_26,,7080
nof,130,7081,3,7081,3365,,992,618.385,,,,,,,144,46,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7081
bar,131,7082,0,7082,3366,,0,618.6849999999997,,,,,,,,,,131,,,,,,,,,,1,1,cut_30,gutim_26,,7082
non,131,7083,1,7083,3366,2363,0,618.6849999999997,0.640345982142857,8.0,1,B5,pp,8,144,83,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7083
nof,131,7084,1,7084,3367,,0,619.325,,,,,,,144,83,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7084
non,131,7085,1,7085,3367,2364,153,619.325,0.431082589285714,8.0,0,F1,pp,8,144,29,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7085
nof,131,7086,1,7086,3368,,153,619.7569999999998,,,,,,,144,29,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7086
non,131,7087,1,7087,3368,2365,256,619.7569999999998,0.640345982142857,8.0,1,D4,pp,8,144,62,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7087
non,131,7088,1,7088,3368,2365,256,619.7569999999998,0.535714285714286,8.0,1,B5,pp,8,144,83,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7088
nof,131,7089,1,7089,3369,,256,620.2919999999997,,,,,,,144,83,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7089
nof,131,7090,1,7090,3370,,256,620.3969999999997,,,,,,,144,62,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7090
non,131,7091,1,7091,3370,2366,409,620.3969999999997,0.431082589285714,8.0,0,F1,pp,8,144,29,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7091
nof,131,7092,1,7092,3371,,409,620.8279999999997,,,,,,,144,29,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7092
non,131,7093,3,7093,3371,2367,512,620.8279999999997,0.640345982142857,8.0,1,F2,pp,8,144,41,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7093
non,131,7094,3,7094,3371,2367,512,620.8279999999997,0.535714285714286,8.0,1,D4,pp,8,144,62,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7094
nof,131,7095,3,7095,3372,,512,621.3639999999998,,,,,,,144,62,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7095
nof,131,7096,3,7096,3373,,512,621.4680000000001,,,,,,,144,41,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7096
non,131,7097,3,7097,3374,2368,716,621.682,0.108816964285714,32.0,0,G2,pp,8,144,43,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7097
nof,131,7098,3,7098,3375,,716,621.7909999999999,,,,,,,144,43,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7098
non,131,7099,3,7099,3375,2369,742,621.7909999999999,0.108816964285714,32.0,0,Bb2,pp,8,144,46,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7099
nof,131,7100,3,7100,3376,,742,621.8989999999997,,,,,,,144,46,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7100
non,131,7101,1,7101,3376,2370,768,621.8989999999997,1.07142857142857,4.0,0,Eb6,pp,8,144,87,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7101
non,131,7102,3,7102,3377,2371,,622.7909999999999,0.05,8.0,0,C5,pp,8,144,72,8,,,,g,,o,,,,,1,1,cut_30,gutim_26,,7102
nof,131,7103,3,7103,3378,,,622.8409999999997,,,,,,,144,72,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7103
non,131,7104,3,7104,3379,2372,,622.8659999999998,0.05,8.0,0,G5,pp,8,144,79,8,,,,g,,o,,,,,1,1,cut_30,gutim_26,,7104
nof,131,7105,3,7105,3380,,,622.9159999999999,,,,,,,144,79,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7105
non,131,7106,3,7106,3381,2373,,622.941,0.05,8.0,0,C#2,pp+,9,144,37,9,,,,g,,o,,,,,1,1,cut_30,gutim_26,,7106
nof,131,7107,1,7107,3382,,768,622.9709999999998,,,,,,,144,87,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7107
nof,131,7108,3,7108,3383,,,622.9909999999998,,,,,,,144,37,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7108
non,131,7109,3,7109,3384,2374,981,623.0159999999998,0.179966517857143,16.0,0,E4,p,11,144,64,11,,,,,,o,,,,,1,1,cut_30,gutim_26,,7109
nof,131,7110,3,7110,3385,,981,623.1959999999997,,,,,,,144,64,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7110
non,131,7111,3,7111,3385,2375,1024,623.1959999999997,0.535714285714286,8.0,0,G#2,p+,12,144,44,12,,,,,,o,,,,,1,1,cut_30,gutim_26,,7111
non,131,7112,3,7112,3385,2375,1024,623.1959999999997,0.535714285714286,8.0,0,E4,p+,12,144,64,12,,,,,,o,,,,,1,1,cut_30,gutim_26,,7112
nof,131,7113,3,7113,3386,,1024,623.7319999999997,,,,,,,144,44,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7113
nof,131,7114,3,7114,3386,,1024,623.7319999999997,,,,,,,144,64,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7114
non,131,7115,1,7115,3386,2376,1152,623.7319999999997,0.104631696428571,32.0,0,G6,pp,8,144,91,8,,,,,,o,,,,,1,1,cut_30,gutim_26,,7115
nof,131,7116,1,7116,3387,,1152,623.836,,,,,,,144,91,0,,,,,,,,,,,1,1,cut_30,gutim_26,,7116
non,131,7117,1,7117,3387,2377,1177,623.836,0.108816964285714,32.0,0,C#2,pp+,9,144,37,9,,,,,,o,,,,,1,1,cut_30,gutim_26,,7117
